DATE(d.date),stickiness
2018-10-04,0.1720
2018-10-05,0.1800
2018-10-06,0.1765
2018-10-07,0.1556
2018-10-08,0.1571
2018-10-09,0.1903
2018-10-10,0.1815
2018-10-11,0.1795
2018-10-12,0.1710
2018-10-13,0.1697
2018-10-14,0.2169
2018-10-15,0.1971
2018-10-16,0.1752
2018-10-17,0.1434
2018-10-18,0.1398
2018-10-19,0.1475
2018-10-20,0.1449
2018-10-21,0.1782
2018-10-22,0.1851
2018-10-23,0.1837
2018-10-24,0.2379
2018-10-25,0.2619
2018-10-26,0.2361
2018-10-27,0.2410
2018-10-28,0.2390
2018-10-29,0.2229
2018-10-30,0.2080
2018-10-31,0.2470
2018-11-01,0.2572
2018-11-02,0.2737
2018-11-03,0.2883
2018-11-04,0.2684
2018-11-05,0.2745
2018-11-06,0.2488
2018-11-07,0.2611
2018-11-08,0.2466
2018-11-09,0.2077
2018-11-10,0.2291
2018-11-11,0.2189
2018-11-12,0.2255
2018-11-13,0.2087
2018-11-14,0.2302
2018-11-15,0.2471
2018-11-16,0.2595
2018-11-17,0.2765
2018-11-18,0.2367
2018-11-19,0.2255
2018-11-20,0.2179
2018-11-21,0.2185
2018-11-22,0.2224
2018-11-23,0.2171
2018-11-24,0.2309
2018-11-25,0.2314
2018-11-26,0.2329
2018-11-27,0.2311
2018-11-28,0.2228
2018-11-29,0.2187
2018-11-30,0.2018
2018-12-01,0.2218
2018-12-02,0.2252
2018-12-03,0.2205
2018-12-04,0.2126
2018-12-05,0.2112
2018-12-06,0.2290
2018-12-07,0.2183
2018-12-08,0.2118
2018-12-09,0.2236
2018-12-10,0.2054
2018-12-11,0.2046
2018-12-12,0.2010
2018-12-13,0.2127
2018-12-14,0.2069
2018-12-15,0.2179
2018-12-16,0.2020
2018-12-17,0.2081
2018-12-18,0.2101
2018-12-19,0.2183
2018-12-20,0.1914
2018-12-21,0.1950
2018-12-22,0.2136
2018-12-23,0.2186
2018-12-24,0.1940
2018-12-25,0.1829
2018-12-26,0.2017
2018-12-27,0.2036
2018-12-28,0.2025
2018-12-29,0.1980
2018-12-30,0.2041
2018-12-31,0.2156
